;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
;8158315;5671713;2740989;;;7372031;3785254;3785254;;;7655916;4243109;2204473;;;;;;
;8769050;5312839;3193138;;;7743483;4488281;4488281;;;8085661;4014173;2123552;;;;;;
;9123962;5191746;2630276;;;8076372;4178449;4178449;;;7521020;3781060;2687102;;;;;;
;8697656;4699370;3091460;;;7415783;3935609;3935609;;;7949894;4505715;2621158;;;;;;
;8169748;5545012;2554131;;;7684018;4648461;4648461;;;8418278;4241520;2598256;;;;;;
;8523225;5379909;3003616;;;8026340;4374650;4374650;;;7877119;4005680;3322667;;;;;;
;8765317;5092332;2469626;;;7327987;4050941;4050941;;;8260432;3769491;2248108;;;;;;
;9117856;4677597;2911974;;;7653620;3765971;3765971;;;7689079;4566458;2550748;;;;;;
;8410325;5378515;3371525;;;7947869;4467413;4467413;;;8140193;4297732;2819400;;;;;;
;8991229;5275430;2818780;;;8271258;4228353;4228353;;;7591195;4044689;2746522;;;;;;
;9237801;4625537;3271499;;;7604249;3950548;3950548;;;7990648;3888133;3225902;;;;;;
;8675677;5334632;3236562;;;7543843;4356453;4246532;;;8534548;4265093;2635121;;;;;;
Promedio;8881226,677;5205137,226;2957581,419;;Promedio;7737542,548;4204099,129;4200553,29;;Promedio;7962565,29;4198002,516;2712110,806;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
1600;12247380;7381669;4102039;;1600;11636849;5985507;3678727;;1600;11764041;6530393;3996482;;;;;;
;12210985;5970983;3759329;;;11557243;5518230;3486446;;;12114910;6384958;3907917;;;;;;
;12197005;6503902;4406297;;;11592973;6027334;3283014;;;11551355;6166193;3993098;;;;;;
;12629278;6938745;4046503;;;11618716;5574290;3093622;;;11851139;5935027;3462290;;;;;;
;13297457;7436513;3677428;;;11532145;6095354;2921294;;;12203630;6751678;3767346;;;;;;
;12361313;7311888;4335707;;;11593094;5689717;3776670;;;11633220;6552987;3890986;;;;;;
;13047578;6989897;3981009;;;11521216;6265091;3610395;;;12026065;6355456;4485531;;;;;;
;12218883;6360126;3631592;;;11482507;5889923;3415779;;;11407786;6092026;3410485;;;;;;
;14054625;5941975;4290229;;;11479643;6443502;3238650;;;11803968;5896487;4062769;;;;;;
;11211932;6502279;3940044;;;11405568;5982284;3085918;;;12120511;6749377;2979438;;;;;;
;12673147;7526320;4579912;;;11486070;5517388;2899820;;;11393973;6587068;3944776;;;;;;
;14255912;7122409;4217473;;;11468392;6018587;3747740;;;11784087;6326285;4090403;;;;;;
;12236078;6471374;3858602;;;11457268;5593410;3602549;;;12084290;6087247;3628782;;;;;;
;13122654;6900229;4510405;;;11404569;6108552;3456090;;;11451399;5863115;4022806;;;;;;
;11240091;7765697;4018631;;;11391527;5629034;3262042;;;11856767;6668532;3044590;;;;;;
;12358576;7224523;3672538;;;11361732;6189663;3072608;;;12354388;6543007;3515413;;;;;;
;12340119;7318013;4310611;;;11384906;5869257;2869085;;;11834218;6433300;3427403;;;;;;
;12727407;6766564;3979785;;;11317154;6423666;3680017;;;12347279;6222437;4366236;;;;;;
;12756125;7227407;3091017;;;11292896;5944797;3483441;;;11823962;6031589;3567251;;;;;;
;12833052;6701819;3729662;;;11274330;6456397;3310018;;;12191066;5850267;4342337;;;;;;
;14143051;7115387;4378377;;;11248846;5968304;3109354;;;11430915;6698825;3455635;;;;;;
;12332098;6617032;4012571;;;11317699;6507346;2908300;;;11867613;6533832;3743107;;;;;;
;12137686;6179341;3667301;;;11294229;6022246;3718324;;;12306197;6351052;4286203;;;;;;
;11935654;6814543;4309008;;;11266071;5538832;3538697;;;11594753;6156574;3132070;;;;;;
;12919921;7352920;3956545;;;11372742;6110546;3370810;;;12121036;5933623;3703576;;;;;;
;13884985;6773278;4585025;;;11362235;5640364;3224454;;;11355247;6766907;3639058;;;;;;
;13565411;7106115;4238470;;;11369967;6166092;3041237;;;11792787;6519330;4495321;;;;;;
;12669584;6585881;3897625;;;11504634;5730274;2840960;;;12425955;6311306;3498827;;;;;;
;13504224;7049711;4469873;;;11447371;6234437;3630153;;;11996267;6040892;4282939;;;;;;
;13823916;6451206;4120306;;;11402369;5829789;3434828;;;11600652;5650385;3515635;;;;;;
;13453354;7597849;4345765;;;11245532;6467423;3254232;;;11524336;6345753;4725342;;;;;;
Promedio;12786757,45;6903406,29;4068376,742;;Promedio;11422273,97;5981859,226;3324041,097;;Promedio;11858510,06;6301158,323;3818840,387;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
1800;17673439;10131319;4883641;;1800;16254472;8427291;4413489;;1800;16553695;8124102;5718774;;;;;;
;17597632;9037018;5759595;;;16220265;8672904;4422627;;;16690164;8185125;5605549;;;;;;
;17193616;9685147;5858545;;;16028147;8893151;4380810;;;16747594;8248240;5422176;;;;;;
;17580900;9585401;5855966;;;15831250;9132343;4359731;;;16899954;8265896;4919259;;;;;;
;17377893;9383520;5961669;;;16579578;8388425;4330543;;;17028590;8317312;5179801;;;;;;
;17066201;9368132;6170545;;;16406192;8406442;4327051;;;16131224;8406747;5130025;;;;;;
;17332932;9291231;5057226;;;16186037;8462137;4420053;;;16225409;8531308;4731878;;;;;;
;17121726;9126062;5006235;;;15924642;8523454;4401886;;;16337452;8568480;5331119;;;;;;
;16932901;9029787;5192876;;;16719517;8742216;4389347;;;16465890;8649123;4394569;;;;;;
;19005024;8999895;5047103;;;16617202;8699742;4385774;;;16481148;8688303;5092069;;;;;;
;16836408;9719688;4985979;;;16411958;8765182;4348461;;;16705319;8736222;4931362;;;;;;
;17604346;9685506;4777655;;;16191705;8747518;4327469;;;16775199;8710741;5887895;;;;;;
;18448556;9597360;5594120;;;16045451;8665045;4307889;;;16851548;8739639;5241513;;;;;;
;17249121;9453738;5503167;;;15809486;8557429;4304049;;;16956084;8915434;4841035;;;;;;
;18529620;8394099;5706174;;;16566942;8481808;4301163;;;17132379;8950314;5692345;;;;;;
;17381313;9366622;5489979;;;16374887;8400230;4294947;;;16377964;9078085;5691889;;;;;;
;17849720;9072874;5669140;;;16192481;8317287;4334264;;;16820166;8148656;5718611;;;;;;
;19587465;8916752;5578714;;;16019937;8248438;4318034;;;16965321;8248284;5505142;;;;;;
;17349130;9776644;5203415;;;15804412;8216176;4325740;;;17016995;8303578;4896793;;;;;;
;17135161;9506685;5126552;;;16539228;8160786;4316565;;;16074252;8315050;5970300;;;;;;
;16041240;9302091;5052248;;;16328057;8085634;4330444;;;16154490;8376605;4856523;;;;;;
;17331119;9187443;4971038;;;16056185;7979514;4397676;;;16339663;8425249;5745319;;;;;;
;17173367;9365532;4886030;;;15891157;7952795;4423053;;;16461842;8510126;5097227;;;;;;
;17939979;9210402;6084835;;;16805192;8898945;4463138;;;16653104;8582387;4612035;;;;;;
;17816925;9068799;5109399;;;16678362;8775580;4446317;;;16738943;8607653;5382309;;;;;;
;19767116;8805112;5330729;;;16479585;8738738;4440030;;;16890152;8631617;5049944;;;;;;
;17547908;9746679;5266158;;;16221545;8660692;4473368;;;16914677;8669472;4291585;;;;;;
;17905089;9424248;5174935;;;15967276;8602386;4487512;;;16986186;8681380;4850721;;;;;;
;18844143;9189008;5169080;;;15750292;8496464;4476485;;;15966987;8861130;5744554;;;;;;
;17498219;8973500;5108752;;;16468981;8395367;4515677;;;16082115;8932711;5708203;;;;;;
;17845345;9436743;5346532;;;15436543;8653445;4346321;;;16122362;8367642;5234475;;;;;;
Promedio;17695598,52;9317323,774;5352517,161;;Promedio;16219579,48;8520889,161;4380964,935;;Promedio;16598286,06;8541181;5241129;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
MM_transpuesta_Estud1;;;;;MM_transpuesta_Estud2;;;;;MM_transpuesta_Estud3;;;;;;;;;
;Hilos;;;;;Hilos;;;;;Hilos;;;;;;;;
Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;Tam;1 H;2 H;4 H;;;;;;
2000;22874742;13430991;6986692;;2000;22312184;11789595;6060811;;2000;22952953;12299658;6952634;;;;;;
;23500195;12229393;6275920;;;22124262;11731192;5620737;;;23329435;11657881;7384826;;;;;;
;22349457;13012659;7404388;;;21949037;11735599;6170335;;;22607339;12018139;6898687;;;;;;
;23093425;12338366;6855386;;;22820017;11708793;5707406;;;23122645;11498985;7277361;;;;;;
;22557354;12105827;7260218;;;22784898;11688594;6236112;;;22576000;11936280;6958519;;;;;;
;22399869;11846002;6543003;;;22940814;11662636;5752143;;;22975349;12289172;6484796;;;;;;
;24063879;13466086;6924931;;;22808028;11653534;6300336;;;22489395;11806030;6976124;;;;;;
;22703779;13125825;7209601;;;22597042;11644048;5837475;;;23010620;12205216;6480413;;;;;;
;22595922;11833335;6599111;;;22443043;11621587;6363217;;;22501557;11617817;7093139;;;;;;
;24864934;13078527;7258119;;;22317361;11568502;5867776;;;23106821;12051158;6592188;;;;;;
;23572384;11956760;6664549;;;22201569;11498649;6464238;;;22481763;11490431;7048571;;;;;;
;23157065;11701212;7084670;;;22089543;11486821;5979509;;;23027550;11952606;6255927;;;;;;
;23618999;12734418;6424582;;;22025962;11438905;5524581;;;22645631;12446330;6694027;;;;;;
;23321021;12470184;6742324;;;21886719;11596604;6068011;;;23026806;11890782;7098917;;;;;;
;22883627;12197860;7093369;;;22822156;11648570;5585919;;;22558073;12299563;6296055;;;;;;
;23549453;12280502;6511683;;;22650044;11595005;6101514;;;23094107;11907266;6817568;;;;;;
